name,city,city_id,locality,cuisines,average_cost_for_two,currency,price_range_Rs,rating_text,votes,delivery,aggregate_rating
Java+ - Courtyard By Marriott,Ahmedabad,11,"Courtyard By Marriott, Satellite",Cafe,1000,Rs.,3000,Very Good,1275,Yes,4.1
The Cafe Baraco,Ahmedabad,11,Navrangpura,"Cafe, Italian",1000,Rs.,3000,Sangat Baik,1706,Yes,4.2
Shakti - The Sandwich Shop,Ahmedabad,11,"Aryan Work Spaces, Gulbai tekra","Fast Food, Sandwich",500,Rs.,2000,Very Good,820,No,4.2
9834 The Fruit Truck,Ahmedabad,11,Food Truck Park,"Beverages, Desserts",400,Rs.,2000,Very Good,607,No,4.4
Cafe Piano - The Grand Bhagwati,Ahmedabad,11,"The Grand Bhagwati, Bodakdev","Cafe, North Indian, Italian, Coffee, South Indian",1200,Rs.,3000,Very Good,1071,No,4.2
Jugaad Nights,Ahmedabad,11,Navrangpura,"North Indian, Chinese",450,Rs.,2000,Sangat Baik,1850,No,4.1
Shakti - The Sandwich Shop,Ahmedabad,11,Bodakdev,"Fast Food, Sandwich",500,Rs.,2000,Good,823,No,3.9
Pabrai's Fresh & Naturelle,Ahmedabad,11,Vastrapur,"Ice Cream, Desserts",250,Rs.,1000,Excellent,657,Yes,4.6
Hamfoo's,Ahmedabad,11,Prahlad Nagar,"Pizza, Italian",500,Rs.,2000,Bom,1114,No,3.9
Collage - Hyatt,Ahmedabad,11,"Hyatt, Vastrapur","Mughlai, North Indian, Continental",2000,Rs.,4000,Very Good,625,Yes,4.2
The Garden Cafe - The Fern,Ahmedabad,11,"The Fern, Sola","North Indian, South Indian",2000,Rs.,4000,Very Good,538,Yes,4.3
The Black Chimney,Ahmedabad,11,Thaltej,"North Indian, Chinese, Fast Food",550,Rs.,2000,Baik,677,Yes,3.8
Sphere Lounge - Hotel Ramada,Ahmedabad,11,"Ramada, Prahlad Nagar",Cafe,1100,Rs.,3000,Very Good,787,No,4.2
Melt In,Ahmedabad,11,Bodakdev,"Fast Food, Desserts",500,Rs.,2000,Very Good,962,Yes,4.2
Muncheestan,Ahmedabad,11,Navrangpura,"North Indian, Chinese, Italian, Mexican",500,Rs.,2000,Baik,838,No,3.8
Hoggeterians,Ahmedabad,11,Navrangpura,"Fast Food, North Indian, Continental, Beverages",700,Rs.,2000,Sangat Baik,725,No,4.2
Foody Buddy,Ahmedabad,11,Prahlad Nagar,"North Indian, Fast Food",600,Rs.,2000,Very Good,730,No,4
American Food House,Ahmedabad,11,Bodakdev,"Pizza, American",900,Rs.,3000,Good,533,No,3.5
Kosho's Sauces & Sausages,Ahmedabad,11,Satellite,"Hot dogs, Fast Food",550,Rs.,2000,Very Good,559,No,4.1
Dangee Dums,Ahmedabad,11," Sigma Legacy Building, Vastrapur","Desserts, Bakery",450,Rs.,2000,Very Good,478,Yes,4
Velvety Food,Ahmedabad,11,Satellite,"Healthy Food, Salad, North Indian, Juices",550,Rs.,2000,Good,513,No,3.8
Chai Shop - Hyatt Regency,Ahmedabad,11,"Hyatt Regency, Ashram Road","Cafe, North Indian",2000,Rs.,4000,Very Good,336,Yes,4.2
The Eatery - Four Points by Sheraton,Ahmedabad,11,Ellis Bridge,"Asian, American, North Indian, Gujarati",2500,Rs.,4000,Very Good,358,Yes,4
24/7 All Day Dining Coffee Shop - The Metropole Hotel,Ahmedabad,11,The Metropole Hotel,"North Indian, Chinese, Continental",900,Rs.,3000,Good,271,Yes,3.7
Jacaranda - The Ummed,Ahmedabad,11,"The Gateway Hotel Ummed, Hansol","North Indian, Continental, Gujarati",2500,Rs.,4000,Very Good,237,Yes,4
Brothers Brand,Ahmedabad,11,Vastrapur,"North Indian, Italian",800,Rs.,3000,Very Good,226,No,4
Gardenia - Fortune Park,Ahmedabad,11,Ellis Bridge,"North Indian, Chinese, Continental",1800,Rs.,4000,Good,141,Yes,3.9
The Butter Kitchen,Ahmedabad,11,Gurukul,"North Indian, Chinese, Mughlai, Seafood",500,Rs.,2000,Very Good,146,No,4
Aroma - Crowne Plaza,Ahmedabad,11,"Crowne Plaza, Satellite","Cafe, Beverages",1600,Rs.,4000,Good,109,Yes,3.9
Munchane,Ahmedabad,11,Navrangpura,Fast Food,400,Rs.,2000,Good,104,No,3.9
Tinello - Hyatt Regency,Ahmedabad,11,"Hyatt Regency, Ashram Road",Italian,2500,Rs.,4000,Excellent,587,Yes,4.5
MoMo Café - Courtyard By Marriott,Ahmedabad,11,"Courtyard By Marriott, Satellite","North Indian, South Indian, Asian, Continental, Salad",1400,Rs.,3000,Very Good,618,Yes,4.1
Cafe Piano - The Grand Bhagwati,Ahmedabad,11,"The Grand Bhagwati, Bodakdev","Cafe, North Indian, Italian, Coffee, South Indian",1200,Rs.,3000,Very Good,1071,No,4.2
The Square - Hotel Novotel,Ahmedabad,11,"Hotel Novotel, Satellite","North Indian, Mughlai, Continental",1500,Rs.,4000,Very Good,697,Yes,4.2
Collage - Hyatt,Ahmedabad,11,"Hyatt, Vastrapur","Mughlai, North Indian, Continental",2000,Rs.,4000,Very Good,625,Yes,4.2
The Garden Cafe - The Fern,Ahmedabad,11,"The Fern, Sola","North Indian, South Indian",2000,Rs.,4000,Very Good,538,Yes,4.3
Timpani - Radisson Blu,Ahmedabad,11,"Radisson Blu, Ambavadi","North Indian, Italian, Chinese, Continental",1800,Rs.,4000,Very Good,508,Yes,4.1
Essence - Crowne Plaza,Ahmedabad,11,"Crowne Plaza, Satellite","Continental, North Indian, Beverages",1500,Rs.,4000,Very Good,384,Yes,4.1
R Kitchen - Renaissance Hotel,Ahmedabad,11,"Renaissance Hotel, Sola","North Indian, Continental",2000,Rs.,4000,Very Good,228,Yes,4.1
The Eatery - Four Points by Sheraton,Ahmedabad,11,Ellis Bridge,"Asian, American, North Indian, Gujarati",2500,Rs.,4000,Very Good,358,Yes,4
Orchid - Fortune Inn Haveli Restaurant,Gandhinagar,11,"Fortune Inn Haveli Restaurant, Sector 11, Gandhinagar","North Indian, Mughlai",1400,Rs.,3000,Good,90,Yes,3.7
Soulmate - Make Moments Memorable,Ahmedabad,11,Navrangpura,"Italian, Continental",1500,Rs.,4000,Excellent,477,Yes,4.7
@Mango,Ahmedabad,11,Bodakdev,"North Indian, Italian, Mexican",1300,Rs.,3000,Excellent,1753,Yes,4.5
VarieTea,Ahmedabad,11,Bodakdev,"Cafe, Fast Food, Tea",600,Rs.,2000,Very Good,613,Yes,4.2
Sphere Lounge - Hotel Ramada,Ahmedabad,11,"Ramada, Prahlad Nagar",Cafe,1100,Rs.,3000,Very Good,787,No,4.2
Appiitto9 Cafe,Ahmedabad,11,Bodakdev,"Cafe, North Indian, Italian",600,Rs.,2000,Very Good,222,No,4.1
Candle Light Date N Dinner,Ahmedabad,11,Navrangpura,"North Indian, Chinese, Fast Food",1500,Rs.,4000,Good,255,Yes,3.9
The Riverfront Grill,Ahmedabad,11,Lal Darwaja,"North Indian, Mughlai",1500,Rs.,4000,Good,158,Yes,3.9
Toritos Cafe Time,Ahmedabad,11,Navrangpura,"Mexican, Italian",550,Rs.,2000,Very Good,72,Yes,4
Jugaad Nights,Ahmedabad,11,Satellite,"North Indian, Chinese",450,Rs.,2000,Very Good,924,No,4
Appetize The Bistro,Ahmedabad,11,Satellite,"Pizza, Fast Food",650,Rs.,2000,Very Good,165,Yes,4.2
Karma's Kitchen,Ahmedabad,11,Satellite,"Chinese, North Indian, Fast Food",500,Rs.,2000,Average,303,No,3.1
Dhadoom,Ahmedabad,11,C G Road,Fast Food,400,Rs.,2000,Good,111,Yes,3.6
The Butter Kitchen,Ahmedabad,11,Gurukul,"North Indian, Chinese, Mughlai, Seafood",500,Rs.,2000,Very Good,146,No,4
Huber & Holly,Ahmedabad,11,Bodakdev,"Desserts, Italian",500,Rs.,2000,Excellent,1545,No,4.8
Buttercupp,Ahmedabad,11,Vastrapur,"Desserts, Bakery",300,Rs.,1000,Excellent,1455,Yes,4.9
Vipul Dudhiya,Ahmedabad,11,Navrangpura,Mithai,200,Rs.,1000,Excellent,571,Yes,4.5
Gwalia Sweets,Ahmedabad,11,"4D Square Mall, Chandkheda","Mithai, Street Food, Fast Food",600,Rs.,2000,Good,563,Yes,3.7
The Pancake Story,Ahmedabad,11,Bodakdev,Desserts,500,Rs.,2000,Excellent,395,No,4.5
Hoglatto,Ahmedabad,11,Vastrapur,"Desserts, Bakery",400,Rs.,2000,Excellent,465,Yes,4.8
Rasranjan,Ahmedabad,11,Navrangpura,"Mithai, Street Food",500,Rs.,2000,Good,307,Yes,3.6
Radhe Sweets and Snacks,Gandhinagar,11,Sector 11,"Mithai, Street Food",250,Rs.,1000,Good,171,Yes,3.7
Vadilal - Hangout,Ahmedabad,11,Naranpura,"Ice Cream, Fast Food, Desserts",300,Rs.,1000,Very Good,189,Yes,4
Kandoi Bhogilal Mulchand,Ahmedabad,11,Satellite,Mithai,400,Rs.,2000,Very Good,177,Yes,4.1
Kantilal Manilal's Gopi,Ahmedabad,11,Paldi,Mithai,250,Rs.,1000,Good,118,Yes,3.8
Jayhind Sweets,Ahmedabad,11,Navrangpura,"Mithai, Street Food",350,Rs.,2000,Good,96,Yes,3.7
Wok On Fire,Ahmedabad,11,Navrangpura,"Chinese, Thai, Asian",1200,Rs.,3000,Very Good,1305,Yes,4.1
Momoman,Ahmedabad,11,Gurukul,"Momos, Chinese",550,Rs.,2000,Very Good,904,No,4
Mainland China,Ahmedabad,11,"Gulmohar Park, Satellite","Chinese, Asian, Sushi, Japanese, Thai",1200,Rs.,3000,Very Good,784,Yes,4.1
Sizzling Shihai,Ahmedabad,11,"Shree Balaji Agora Mall, Chandkheda","Thai, Chinese",1200,Rs.,3000,Very Good,470,Yes,4.2
Nanjing,Ahmedabad,11,"CG Square Mall, C G Road","Chinese, Asian",900,Rs.,3000,Very Good,522,Yes,4.3
Marky Momos,Ahmedabad,11,"4D Square Mall, Chandkheda","Chinese, Momos",700,Rs.,2000,Very Good,505,No,4
Crazy Noodles,Ahmedabad,11,"Camps Corner 2, Prahlad Nagar",Chinese,800,Rs.,3000,Very Good,532,Yes,4.2
China House - Hyatt Regency,Ahmedabad,11,"Hyatt Regency, Ashram Road","Chinese, Asian",2400,Rs.,4000,Excellent,284,Yes,4.7
Ph Se Food,Ahmedabad,11,Bodakdev,"North Indian, Chinese, Fast Food",900,Rs.,3000,Excellent,1434,Yes,4.5
Millhouse,Ahmedabad,11,"Ahmedabad One Mall, Vastrapur","Continental, Italian",1200,Rs.,3000,Excellent,1530,Yes,4.5
The Red Bistro,Ahmedabad,11,Bodakdev,"Mexican, Italian, North Indian",1400,Rs.,3000,Excellent,695,Yes,4.6
Urban Khichdi,Ahmedabad,11,Vastrapur,"North Indian, Continental",600,Rs.,2000,Excellent,619,No,4.7
Eleven 11 Restro Cafe,Ahmedabad,11,Bodakdev,"Cafe, Italian, North Indian",1000,Rs.,3000,Very Good,1273,Yes,4.3
Parosa,Ahmedabad,11,Bodakdev,"Italian, Mexican, North Indian",800,Rs.,3000,Very Good,930,Yes,4.2
Brick Kitchen - Five Petals,Ahmedabad,11,Ghatlodia,"North Indian, Chinese, Continental",900,Rs.,3000,Excellent,1533,Yes,4.5
Kadak Bhagat,Ahmedabad,11,Mani Nagar,"North Indian, Chinese",1200,Rs.,3000,Excellent,897,Yes,4.8
Whatta Waffle!,Ahmedabad,11,Bodakdev,"Desserts, Beverages",400,Rs.,2000,Very Good,533,No,4.4
Bayleaf - Courtyard By Marriott,Ahmedabad,11,"Courtyard By Marriott, Satellite",North Indian,2200,Rs.,4000,Excellent,395,Yes,4.5
So Hi Kebabs & Curries Company,Ahmedabad,11,Bodakdev,"North Indian, Italian",1000,Rs.,3000,Very Good,340,Yes,4.2
Kailash Parbat,Ahmedabad,11,Bodakdev,"North Indian, Street Food, Asian",800,Rs.,3000,Good,242,Yes,3.9
Mango Masala Restaurant,Ajmer,11303,Ana Sagar Lake,"Continental, Beverages, South Indian, Fast Food, Italian, North Indian, Chinese",600,Rs.,2000,Excellent,658,No,4.8
Rasoi,Ajmer,11303,Ana Sagar Lake,"North Indian, South Indian, Continental, Italian, Chinese, Beverages",800,Rs.,3000,Excellent,529,No,4.6
Bansi Wala,Ajmer,11303,Railway Quarters ,"Beverages, Fast Food, North Indian, Chinese, Rajasthani",150,Rs.,1000,Very Good,207,Yes,4.2
Domino's Pizza,Ajmer,11303,Ana Sagar Lake,"Pizza, Fast Food",400,Rs.,2000,Very Good,355,Yes,4
Gangaur Pizza Point,Ajmer,11303,Ana Sagar Lake,"Fast Food, Pizza",600,Rs.,2000,Very Good,426,No,4.4
The Burger Street,Ajmer,11303,Ana Sagar Lake,Fast Food,650,Rs.,2000,Very Good,286,No,4.1
The Big Bunny,Ajmer,11303,Adarsh Nagar,North Indian,300,Rs.,1000,Very Good,160,No,4.1
Mahadev Ka Dhaba,Ajmer,11303,Ana Sagar Lake,"North Indian, Rajasthani",250,Rs.,1000,Good,287,No,3.8
Foodies,Ajmer,11303,Adarsh Nagar,Chinese,150,Rs.,1000,Excellent,203,No,4.5
Guddan Ka Dhaba,Ajmer,11303,Ana Sagar Lake,North Indian,300,Rs.,1000,Very Good,211,No,4.3
Cafe Ate Pm,Ajmer,11303,Dhola Bhata Colony,"Chinese, Cafe, Sandwich, Fast Food, North Indian, Coffee, Desserts, Pizza",300,Rs.,1000,Very Good,171,Yes,4.2
Chick'n express,Ajmer,11303,Ana Sagar Lake,"North Indian, Biryani, Chinese, Kebab, BBQ",200,Rs.,1000,Very Good,242,Yes,4.3
7 Spices,Ajmer,11303,Dhola Bhata Colony,"North Indian, Roast Chicken, BBQ, Mughlai, Charcoal Chicken, Kebab",500,Rs.,2000,Very Good,178,Yes,4.2
Burger King,Ajmer,11303,"City Square Mall, Panchsheel Nagar","Burger, Fast Food, Beverages",500,Rs.,2000,Very Good,169,No,4.2
Roll Express,Ajmer,11303,Ana Sagar Lake,"Momos, Roast Chicken, BBQ, Rolls, Afghan",300,Rs.,1000,Very Good,194,No,4.3
Mango Curry,Ajmer,11303,Ana Sagar Lake,"South Indian, Fast Food, Italian, North Indian, Chinese, BBQ, Kebab",1000,Rs.,3000,Excellent,275,Yes,4.5
WTF What's The Food,Ajmer,11303,Ana Sagar Lake,Fast Food,250,Rs.,1000,Good,169,Yes,3.9
Roll Street,Ajmer,11303,Ana Sagar Lake,Rolls,200,Rs.,1000,Very Good,157,No,4
Shankar's Chaat,Ajmer,11303,Ana Sagar Lake,Street Food,60,Rs.,1000,Very Good,83,No,4
Mr Beans Pizza,Ajmer,11303,Ana Sagar Lake,Pizza,400,Rs.,2000,Good,170,No,3.5
Inbox,Ajmer,11303,Pal Bhichala,"Thai, Mexican, Italian",250,Rs.,1000,Good,78,No,3.5
Kebabs & Curries Company,Ajmer,11303,Ana Sagar Lake,"North Indian, Chinese, Mughlai, Rolls",750,Rs.,3000,Very Good,153,No,4.2
Old Mahadev Ka Dhaba,Ajmer,11303,Ana Sagar Lake,"North Indian, Rajasthani",300,Rs.,1000,Average,136,No,3.2
Mamta Sweets,Ajmer,11303,Ana Sagar Lake,"South Indian, Fast Food, Italian, Chinese, Bakery, Mithai",400,Rs.,2000,Very Good,119,No,4
Kha Lo,Ajmer,11303,Ana Sagar Lake,"Burger, Beverages, Fast Food, Sandwich, Italian, Pizza, Chinese",150,Rs.,1000,Very Good,146,Yes,4.2
Sunny Di Hatti Amritsari,Ajmer,11303,Ana Sagar Lake,"Beverages, Fast Food, North Indian, Chinese",400,Rs.,2000,Very Good,123,Yes,4.3
Khokha,Ajmer,11303,Ana Sagar Lake,Cafe,600,Rs.,2000,Good,100,No,3.9
Paapi पेट The Restaurant,Ajmer,11303,Ana Sagar Lake,"Biryani, Roast Chicken, North Indian, Mughlai",200,Rs.,1000,Very Good,153,Yes,4
Pizza Hut,Ajmer,11303,Ana Sagar Lake,"Pizza, Fast Food, Italian",600,Rs.,2000,Good,203,Yes,3.8
Ambrosia Restaurant,Ajmer,11303,Ana Sagar Lake,North Indian,600,Rs.,2000,Good,112,No,3.9
Subway,Ajmer,11303,Ana Sagar Lake,"Fast Food, Healthy Food, Sandwich, Salad",500,Rs.,2000,Very Good,109,No,4.1
Arora's Restaurant,Ajmer,11303,Ana Sagar Lake,"BBQ, Chinese, Roast Chicken, North Indian, Kebab, Afghan, Mughlai",400,Rs.,2000,Very Good,76,No,4
Crazy Tales,Ajmer,11303,Ana Sagar Lake,"Salad, Chinese, Sandwich, Beverages, North Indian, Burger, Desserts, Pizza",500,Rs.,2000,Good,86,No,3.8
Bambaiya Vada Paw,Ajmer,11303,Ana Sagar Lake,Fast Food,150,Rs.,1000,Very Good,73,No,4
Cake Craft By Mango Masala,Ajmer,11303,Ana Sagar Lake,"Desserts, Bakery",470,Rs.,2000,Very Good,98,No,4.2
Pizzeria By Mango Masala,Ajmer,11303,Ana Sagar Lake,"Italian, Pizza",500,Rs.,2000,Very Good,100,No,4
Honeydew,Ajmer,11303,Railway Quarters ,"Continental, South Indian, Fast Food, North Indian, Chinese, Mughlai",600,Rs.,2000,Very Good,103,No,4.3
Tea Connect,Ajmer,11303,Ana Sagar Lake,Cafe,400,Rs.,2000,Very Good,122,No,4
Mamaji's Chicken Point,Ajmer,11303,Ana Sagar Lake,"North Indian, Roast Chicken, BBQ, Mughlai, Kebab, Awadhi",450,Rs.,2000,Good,108,Yes,3.9
Happiness By Bake My Day,Ajmer,11303,Adarsh Nagar,"Bakery, Fast Food",500,Rs.,2000,Good,91,No,3.8
Chatkaraa,Ajmer,11303,Adarsh Nagar,North Indian,300,Rs.,1000,Very Good,74,No,4.1
Coffo Holic,Ajmer,11303,Ana Sagar Lake,"South Indian, Fast Food, Cafe, Italian, North Indian, Bakery, BBQ, Afghan",600,Rs.,2000,Very Good,98,Yes,4
Don Tomato,Ajmer,11303,Ana Sagar Lake,"Chinese, Sandwich, Fast Food, North Indian, Burger, Rolls, Pizza, South Indian",150,Rs.,1000,Very Good,77,Yes,4
Ashu Sweets And Bakers,Ajmer,11303,Adarsh Nagar,"Mithai, Bakery, Fast Food",250,Rs.,1000,Good,27,No,3.7
Kesar,Ajmer,11303,Kotra,"Mexican, South Indian, Fast Food, Desserts, Italian, North Indian, Chinese, Rajasthani",500,Rs.,2000,Very Good,71,No,4.1
The Rolls Yard,Ajmer,11303,Railway Quarters ,"Momos, Fast Food, North Indian, Rolls",300,Rs.,1000,Good,43,No,3.6
Manoj's Kake Di Hatti,Ajmer,11303,Railway Quarters ,North Indian,200,Rs.,1000,Average,82,No,3
Mast Punjabi Tadka,Ajmer,11303,Ram Ganj,North Indian,300,Rs.,1000,Very Good,71,No,4
Baawarchi Brothers,Ajmer,11303,Ana Sagar Lake,"Rajasthani, Biryani, Sandwich, Fast Food, Beverages, Burger",350,Rs.,2000,Very Good,55,No,4
Mamta Ice Breaker,Ajmer,11303,Ana Sagar Lake,"South Indian, Fast Food, Italian, Chinese",400,Rs.,2000,Good,77,No,3.7
The Tandoor Restaurant,Ajmer,11303,Ana Sagar Lake,"North Indian, Biryani, Chinese",300,Rs.,1000,Good,65,Yes,3.8
Karim's Restaurant,Ajmer,11303,Pal Bhichala,Mughlai,500,Rs.,2000,Very Good,77,Yes,4
Roti Boti,Ajmer,11303,Adarsh Nagar,North Indian,300,Rs.,1000,Good,65,Yes,3.8
Love Cafetaria,Ajmer,11303,Ana Sagar Lake,"Beverages, South Indian, Fast Food, Sandwich, Pizza, Chinese",100,Rs.,1000,Good,82,Yes,3.8
Havmor,Ajmer,11303,Ana Sagar Lake,"North Indian, Pizza, Biryani",800,Rs.,3000,Average,68,Yes,2.5
Chawla's,Ajmer,11303,Ana Sagar Lake,North Indian,300,Rs.,1000,Good,68,No,3.9
Pandit Restaurant,Ajmer,11303,Ana Sagar Lake,"Biryani, North Indian",250,Rs.,1000,Very Good,69,No,4.4
Simple Lounge & Family Restaurant,Ajmer,11303,Adarsh Nagar,"Fast Food, North Indian",300,Rs.,1000,Good,61,No,3.7
Pizza Hutt,Ajmer,11303,"Shrinath Mall, Ana Sagar Lake","Pizza, Fast Food, Italian",600,Rs.,2000,Good,48,No,3.6
Chaat Chatore,Ajmer,11303,Ana Sagar Lake,"Fast Food, Cafe, Pizza, Street Food",100,Rs.,1000,Average,59,No,3.2
Striker,Ajmer,11303,Panchsheel Nagar,"Fast Food, North Indian",250,Rs.,1000,Very Good,77,Yes,4
Balaji Juice,Ajmer,11303,Ana Sagar Lake,Beverages,100,Rs.,1000,Good,61,No,3.8
Chicken King,Ajmer,11303,Railway Quarters ,North Indian,200,Rs.,1000,Very Good,75,Yes,4
Bombay Chowpatty,Ajmer,11303,Ram Ganj,"North Indian, Street Food",150,Rs.,1000,Good,60,Yes,3.9
Raj Thali,Ajmer,11303,Adarsh Nagar,North Indian,150,Rs.,1000,Good,47,No,3.8
Manoj's Kake De Hatti,Ajmer,11303,Ana Sagar Lake,North Indian,400,Rs.,2000,Good,63,No,3.6
Brijwasi,Ajmer,11303,Kotra,"Chinese, Fast Food",200,Rs.,1000,Good,71,Yes,3.9
Sindh Punjab Dhaba,Ajmer,11303,Ana Sagar Lake,"North Indian, Rajasthani",400,Rs.,2000,Good,50,No,3.5
Rajdeep Family Restaurant,Ajmer,11303,Railway Quarters ,"Fast Food, North Indian",300,Rs.,1000,Good,46,No,3.5
A-One Fast Food &Pizza Point,Ajmer,11303,Ana Sagar Lake,"Street Food, Fast Food, Sandwich, Pizza, Chinese, Momos, Coffee",150,Rs.,1000,Good,63,Yes,3.7
FYI,Ajmer,11303,Ana Sagar Lake,Fast Food,200,Rs.,1000,Very Good,63,No,4
Cafe CSM,Ajmer,11303,Panchsheel Nagar,"South Indian, Fast Food, Italian, North Indian, Chinese, Coffee",300,Rs.,1000,Good,54,No,3.7
Vaishali Restaurant,Ajmer,11303,Ana Sagar Lake,North Indian,150,Rs.,1000,Good,30,No,3.7
Shamby's Cafe,Ajmer,11303,Ana Sagar Lake,"South Indian, Fast Food, Cafe, Pizza, Chinese, Coffee",200,Rs.,1000,Good,51,0,3.5
Pehli Manzil,Ajmer,11303,Railway Quarters ,"Continental, Biryani, Beverages, South Indian, Italian, North Indian, Chinese, Rajasthani",300,Rs.,1000,Good,55,No,3.8
Punjabi Tadka,Ajmer,11303,Ana Sagar Lake,Mughlai,250,Rs.,1000,Good,67,Yes,3.6
Midtown Grill,Ajmer,11303,Ana Sagar Lake,"North Indian, Chinese",600,Rs.,2000,Average,38,Yes,3.3
Fry Hood,Ajmer,11303,Ana Sagar Lake,Fast Food,200,Rs.,1000,Average,6,Yes,3.4
Romy's Fine Dine,Ajmer,11303,Ana Sagar Lake,"Chinese, North Indian, Pizza, Biryani",800,Rs.,3000,Good,53,Yes,3.7
Olive Kitchen,Ajmer,11303,Ana Sagar Lake,"Biryani, Italian, North Indian, Salad, Afghan, Kebab",700,Rs.,2000,Good,47,Yes,3.5
Pizza Point,Ajmer,11303,Railway Quarters ,"Pizza, Fast Food",250,Rs.,1000,Good,82,Yes,3.7
Thakurani Da Dhaba,Ajmer,11303,Ana Sagar Lake,North Indian,350,Rs.,2000,Average,47,No,2.8
Mast Mahadev Dhaba,Ajmer,11303,Ana Sagar Lake,"Fast Food, North Indian",300,Rs.,1000,Good,63,No,3.7
Krishna Family Dhaba,Ajmer,11303,Ram Ganj,"Fast Food, North Indian, Chinese, Rajasthani",500,Rs.,2000,Good,31,No,3.8
Manoj's Kake Di Hatti,Ajmer,11303,Dhola Bhata Colony,"Fast Food, North Indian, Rajasthani",400,Rs.,2000,Average,52,No,3.4
Status By Silver Leaf,Ajmer,11303,Ana Sagar Lake,North Indian,600,Rs.,2000,Good,52,No,3.9
Dhanna Kachori,Ajmer,11303,Panchsheel Nagar,North Indian,20,Rs.,1000,Good,46,No,3.9
Riviera Restaurant,Ajmer,11303,Boraj Kazipura,"Biryani, North Indian, Chinese",500,Rs.,2000,Good,42,No,3.5
Goyal Fast Food,Ajmer,11303,Kundan Nagar,"Fast Food, Pizza, Chinese",200,Rs.,1000,Good,41,Yes,3.8
Ashu Sweets,Ajmer,11303,Ram Ganj,"Mithai, Bakery, Fast Food",250,Rs.,1000,Average,12,No,3.4
Royal recepies,Ajmer,11303,Ana Sagar Lake,"Fast Food, North Indian",250,Rs.,1000,Good,32,Yes,3.8
Manoj's Kake Di Hatti,Ajmer,11303,Ana Sagar Lake,"North Indian, Rajasthani",200,Rs.,1000,Average,46,No,3.4
Momos Mania,Ajmer,11303,Dhola Bhata Colony,"Burger, Fast Food, Pizza, Chinese",150,Rs.,1000,Good,41,Yes,3.7
Royal Bakers,Ajmer,11303,Ana Sagar Lake,Bakery,200,Rs.,1000,Good,37,No,3.7
Brown Bake,Ajmer,11303,Kotra,"Mexican, Beverages, Fast Food, Cafe, Italian, North Indian, Chinese, Bakery",350,Rs.,2000,Good,52,No,3.7
Bhola Restaurant,Ajmer,11303,Ana Sagar Lake,North Indian,200,Rs.,1000,Average,39,No,2.8
Malgudi Day's,Ajmer,11303,Panchsheel Nagar,North Indian,150,Rs.,1000,Good,39,No,3.8
Daurani Jethani Ki Rasoi,Ajmer,11303,Ana Sagar Lake,"Fast Food, Sandwich, Pizza, North Indian, Chinese",250,Rs.,1000,Good,51,No,3.6
The Belgian Waffle Co,Ajmer,11303,Panchsheel Nagar,"Ice Cream, Coffee, Desserts",300,Rs.,1000,Good,45,Yes,3.9
The Country & Town Cafe,Ajmer,11303,Kundan Nagar,"Ice Cream, Chinese, Cafe, Sandwich, Fast Food, Beverages, Coffee, Desserts",550,Rs.,2000,Good,35,No,3.8
Mango Masala Restaurant,Ajmer,11303,Ana Sagar Lake,"Continental, Beverages, South Indian, Fast Food, Italian, North Indian, Chinese",600,Rs.,2000,Harika,658,No,4.8
Rasoi,Ajmer,11303,Ana Sagar Lake,"North Indian, South Indian, Continental, Italian, Chinese, Beverages",800,Rs.,3000,Excellent,529,No,4.6
Domino's Pizza,Ajmer,11303,Ana Sagar Lake,"Pizza, Fast Food",400,Rs.,2000,Very Good,355,Yes,4
Chick'n express,Ajmer,11303,Ana Sagar Lake,"North Indian, Biryani, Chinese, Kebab, BBQ",200,Rs.,1000,Very Good,242,Yes,4.3
Inbox,Ajmer,11303,Pal Bhichala,"Thai, Mexican, Italian",250,Rs.,1000,Good,78,No,3.5
Bansi Wala,Ajmer,11303,Railway Quarters ,"Beverages, Fast Food, North Indian, Chinese, Rajasthani",150,Rs.,1000,Very Good,207,Yes,4.2
Gangaur Pizza Point,Ajmer,11303,Ana Sagar Lake,"Fast Food, Pizza",600,Rs.,2000,Çok iyi,426,No,4.4
Kebabs & Curries Company,Ajmer,11303,Ana Sagar Lake,"North Indian, Chinese, Mughlai, Rolls",750,Rs.,3000,Very Good,153,No,4.2
Old Mahadev Ka Dhaba,Ajmer,11303,Ana Sagar Lake,"North Indian, Rajasthani",300,Rs.,1000,Average,136,No,3.2
The Burger Street,Ajmer,11303,Ana Sagar Lake,Fast Food,650,Rs.,2000,Çok iyi,286,No,4.1
The Big Bunny,Ajmer,11303,Adarsh Nagar,North Indian,300,Rs.,1000,Very Good,160,No,4.1
Mahadev Ka Dhaba,Ajmer,11303,Ana Sagar Lake,"North Indian, Rajasthani",250,Rs.,1000,Good,287,No,3.8
Foodies,Ajmer,11303,Adarsh Nagar,Chinese,150,Rs.,1000,Excellent,203,No,4.5
Khokha,Ajmer,11303,Ana Sagar Lake,Cafe,600,Rs.,2000,Good,100,No,3.9
Guddan Ka Dhaba,Ajmer,11303,Ana Sagar Lake,North Indian,300,Rs.,1000,Very Good,211,No,4.3
Cafe Ate Pm,Ajmer,11303,Dhola Bhata Colony,"Chinese, Cafe, Sandwich, Fast Food, North Indian, Coffee, Desserts, Pizza",300,Rs.,1000,Very Good,171,Yes,4.2
